con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Lgain-Neut	7.2	opt1	FixMod	0.3233906559123421	0.7456984883995696	0.35634700856060786	0.37990668204344485
Lgain-Neut	7.2	opt2	CueMod	0.3234393404004711	0.709488245322773	0.22518158587595757	0.23468119423436504
Lgain-Neut	7.2	opt2	AntMod	0.336488913179263	0.7359704994998169	0.2886715200722438	0.280509244261194
Lgain-Neut	7.2	opt2	FixMod	0.3309478076889326	0.7459565734007595	0.30315191265302055	0.29833024965218236
Lgain-Neut	7.2	opt3	CueMod	0.35466576913368025	0.7786728628583224	0.275288817997294	0.28319691243331285
Lgain-Neut	7.2	opt3	AntMod	0.33807005948446794	0.7945053701273271	0.2955192596759387	0.31750016672698045
Lgain-Neut	7.2	opt3	FixMod	0.29548438344678457	0.7791156031911705	0.2905121791166309	0.31752556418656613
Lgain-Neut	7.2	opt4	CueMod	0.35231115457576795	0.7778948717850858	0.24493097953384085	0.2736597098703218
Lgain-Neut	7.2	opt4	AntMod	0.34398310725515846	0.7955064229869845	0.25219395756290186	0.299743139712667
Lgain-Neut	7.2	opt4	FixMod	0.30195133495406723	0.7807586466561162	0.26000106123165634	0.3070109015602599
Lgain-Neut	8.4	opt1	CueMod	0.30051274336505074	0.6923416427571889	0.2130366019522676	0.19939384338705504
Lgain-Neut	8.4	opt1	AntMod	0.34259199725669226	0.7436183845279296	0.32657936834803375	0.3419919205125519
Lgain-Neut	8.4	opt1	FixMod	0.35985904620051407	0.7658367621730252	0.38144028488426146	0.4008532562137962
Lgain-Neut	8.4	opt2	CueMod	0.366019089132722	0.7407182540797569	0.2261025741924874	0.2424140773329979
Lgain-Neut	8.4	opt2	AntMod	0.3780704376417633	0.7601874855378039	0.3013109503590786	0.2944772735440133
Lgain-Neut	8.4	opt2	FixMod	0.3725265569672984	0.7694209566995351	0.31796896464043595	0.31282433614906824
Lgain-Neut	8.4	opt3	CueMod	0.400239186764999	0.8088566525588102	0.2979003391889765	0.31160668428611976
Lgain-Neut	8.4	opt3	AntMod	0.37780831034445744	0.8206444055244484	0.3215260352900488	0.3506141185343013
Lgain-Neut	8.4	opt3	FixMod	0.32871925162320276	0.803069780879857	0.3124502346628064	0.3476182319234552
Lgain-Neut	8.4	opt4	CueMod	0.39631191526728315	0.8094906022155324	0.26687444555370615	0.3033885411368312
Lgain-Neut	8.4	opt4	AntMod	0.3814987338606309	0.8233766282137287	0.27528057851971327	0.3344305427299687
Lgain-Neut	8.4	opt4	FixMod	0.33772787545193506	0.806742233521035	0.2804821190184927	0.33959317461411775
Sgain-Neut	3.6	opt1	CueMod	0.07159479808350445	0.3187500167387584	0.15632608811018864	0.1432046214265555
Sgain-Neut	3.6	opt1	AntMod	0.05307262569832403	0.3266583814511476	0.13626445443636712	0.12480647413997464
Sgain-Neut	3.6	opt1	FixMod	0.04550728374371535	0.34308247273909814	0.11122538737662134	0.1194710970717096
Sgain-Neut	3.6	opt2	CueMod	0.06823451473998013	0.3208467328598064	0.13702672481079886	0.16035866011337788
Sgain-Neut	3.6	opt2	AntMod	0.04822176664586862	0.32766643603819423	0.1358122102943095	0.14389212378559013
Sgain-Neut	3.6	opt2	FixMod	0.039594132568655564	0.3262168643738834	0.1298908487222189	0.1380754951997149
Sgain-Neut	3.6	opt3	CueMod	0.0796260477111541	0.3331204429485141	0.10607741842118157	0.1284161517429205
Sgain-Neut	3.6	opt3	AntMod	0.055223148602256	0.33260247692146166	0.08254339742883116	0.09189408069912948
Sgain-Neut	3.6	opt3	FixMod	0.04098641397419797	0.32381730850779844	0.06767386811486435	0.07517190579326725
Sgain-Neut	3.6	opt4	CueMod	0.074547124133901	0.33012658552636426	0.09518580703226479	0.12044253598067278
Sgain-Neut	3.6	opt4	AntMod	0.05559328611623168	0.32760238279976317	0.07029457573116106	0.08528965928458158
