subject	model	motion	con	eff_est
sub-91	FixMod	opt1	Lgain-Neut	0.7122782902346335
sub-91	FixMod	opt2	Lgain-Neut	0.6200282437058562
sub-91	FixMod	opt3	Lgain-Neut	0.5418164078900553
sub-91	FixMod	opt4	Lgain-Neut	0.4878687255037893
sub-40	AntMod	opt1	Lgain-Neut	3.5676475055170274
sub-40	AntMod	opt2	Lgain-Neut	2.9743763875273594
sub-40	AntMod	opt3	Lgain-Neut	2.822768523182647
sub-40	AntMod	opt4	Lgain-Neut	2.808076652672355
sub-40	CueMod	opt1	Lgain-Neut	1.2224210934630317
sub-40	CueMod	opt2	Lgain-Neut	1.008996373959268
sub-40	CueMod	opt3	Lgain-Neut	0.9486816927968532
sub-40	CueMod	opt4	Lgain-Neut	0.941541973092876
sub-40	FixMod	opt1	Lgain-Neut	0.6968196903358882
sub-40	FixMod	opt2	Lgain-Neut	0.5976594436347802
sub-40	FixMod	opt3	Lgain-Neut	0.5647248087485705
sub-40	FixMod	opt4	Lgain-Neut	0.5617727354675067
sub-48	AntMod	opt1	Lgain-Neut	3.6411159732107024
sub-48	AntMod	opt2	Lgain-Neut	3.0593747472309194
sub-48	AntMod	opt3	Lgain-Neut	2.565049605118841
sub-48	AntMod	opt4	Lgain-Neut	2.565049605118841
sub-48	CueMod	opt1	Lgain-Neut	1.2389963416372252
sub-48	CueMod	opt2	Lgain-Neut	1.0417201423170124
sub-48	CueMod	opt3	Lgain-Neut	0.895160935089516
sub-48	CueMod	opt4	Lgain-Neut	0.895160935089516
sub-48	FixMod	opt1	Lgain-Neut	0.7181978268408225
sub-48	FixMod	opt2	Lgain-Neut	0.6047289029881541
sub-48	FixMod	opt3	Lgain-Neut	0.49514762865052075
sub-48	FixMod	opt4	Lgain-Neut	0.49514762865052075
sub-64	AntMod	opt1	Lgain-Neut	3.550855452670392
sub-64	AntMod	opt2	Lgain-Neut	3.2258534460016097
sub-64	AntMod	opt3	Lgain-Neut	2.931953632371872
sub-64	AntMod	opt4	Lgain-Neut	2.931953632371872
sub-64	CueMod	opt1	Lgain-Neut	1.1927245779991131
sub-64	CueMod	opt2	Lgain-Neut	1.0907631573938537
sub-64	CueMod	opt3	Lgain-Neut	0.9994862876900724
sub-64	CueMod	opt4	Lgain-Neut	0.9994862876900724
sub-64	FixMod	opt1	Lgain-Neut	0.7191556124535219
sub-64	FixMod	opt2	Lgain-Neut	0.6498611123164239
sub-64	FixMod	opt3	Lgain-Neut	0.5728822452127198
sub-64	FixMod	opt4	Lgain-Neut	0.5728822452127198
sub-123	AntMod	opt1	Lgain-Neut	3.3350816115457786
sub-123	AntMod	opt2	Lgain-Neut	3.0212305908208483
sub-123	AntMod	opt3	Lgain-Neut	2.7394129314703406
sub-123	AntMod	opt4	Lgain-Neut	2.7394129314703406
sub-123	CueMod	opt1	Lgain-Neut	1.1055386449530595
sub-123	CueMod	opt2	Lgain-Neut	0.9886557151605804
sub-123	CueMod	opt3	Lgain-Neut	0.8910333926301072
sub-123	CueMod	opt4	Lgain-Neut	0.8910333926301072
sub-123	FixMod	opt1	Lgain-Neut	0.6854038453330835
sub-123	FixMod	opt2	Lgain-Neut	0.637776019173506
sub-123	FixMod	opt3	Lgain-Neut	0.5834335881184312
sub-123	FixMod	opt4	Lgain-Neut	0.5834335881184312
sub-26	AntMod	opt1	Lgain-Neut	3.5162658559367523
sub-26	AntMod	opt2	Lgain-Neut	2.900623283587585
sub-26	AntMod	opt3	Lgain-Neut	2.4856106580522397
sub-26	AntMod	opt4	Lgain-Neut	2.4856106580522397
sub-26	CueMod	opt1	Lgain-Neut	1.1891473218755215
sub-26	CueMod	opt2	Lgain-Neut	0.9749226965397211
sub-26	CueMod	opt3	Lgain-Neut	0.8363520388857468
sub-26	CueMod	opt4	Lgain-Neut	0.8363520388857468
sub-26	FixMod	opt1	Lgain-Neut	0.7026816748268825
