path,DLH,RESEL
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.01769,262.182
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.328699,14.1101
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0616679,75.2091
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.0389303,119.136
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.298372,15.5443
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt1_mod-FixMod_fwhm-3.6_stat-residuals.nii.gz,0.305949,15.1593
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0566293,81.9008
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0160725,288.567
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0630498,73.5607
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-3.6_stat-residuals.nii.gz,0.345818,13.4116
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.072328,64.1243
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0204165,227.169
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt4_mod-AntMod_fwhm-7.2_stat-residuals.nii.gz,0.0409772,113.185
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-AntMod_fwhm-4.8_stat-residuals.nii.gz,0.147617,31.4191
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-7.2_stat-residuals.nii.gz,0.0403711,114.884
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0151908,305.316
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.043203,107.353
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-FixMod_fwhm-4.8_stat-residuals.nii.gz,0.161867,28.653
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0702925,65.9812
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.020374,227.643
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0709666,65.3545
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-CueMod_fwhm-4.8_stat-residuals.nii.gz,0.133931,34.6298
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0164263,282.351
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-CueMod_fwhm-4.8_stat-residuals.nii.gz,0.13684,33.8935
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0240014,193.238
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-4.8_stat-residuals.nii.gz,0.143299,32.3658
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0152667,303.797
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0170931,271.337
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-AntMod_fwhm-7.2_stat-residuals.nii.gz,0.03004,154.394
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.0415093,111.734
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-FixMod_fwhm-3.6_stat-residuals.nii.gz,0.347735,13.3377
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-7.2_stat-residuals.nii.gz,0.0383126,121.056
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-AntMod_fwhm-4.8_stat-residuals.nii.gz,0.12399,37.406
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0743234,62.4027
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0232021,199.895
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0665764,69.6641
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0226232,205.011
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-4.8_stat-residuals.nii.gz,0.155482,29.8297
